bibliography.title,metadata.url,bibliography.author.name,bibliography.publication.full
...So They Baked a Cake,https://www.gutenberg.org/ebooks/51414,"Marks, Winston K.",10-Mar-16
Little Dorrit,https://www.gutenberg.org/ebooks/963,"Dickens, Charles","July, 1997"
The Railway Children,https://www.gutenberg.org/ebooks/1874,"Nesbit, E. (Edith)","August, 1999"
The Beast in the Jungle,https://www.gutenberg.org/ebooks/1093,"James, Henry",6-Feb-05
The Autobiography of Benjamin Franklin,https://www.gutenberg.org/ebooks/148,"Franklin, Benjamin",22-May-08
Politics: A Treatise on Government,https://www.gutenberg.org/ebooks/6762,Aristotle,"October, 2004"
Little Black Sambo,https://www.gutenberg.org/ebooks/17824,"Bannerman, Helen",22-Feb-06
"The Metamorphoses of Ovid, Books I-VII",https://www.gutenberg.org/ebooks/21765,Ovid,8-Jun-07
Reflections; or Sentences and Moral Maxims,https://www.gutenberg.org/ebooks/9105,"La Rochefoucauld, Francois duc de","October, 2005"
The Man That Corrupted Hadleyburg,https://www.gutenberg.org/ebooks/1213,"Twain, Mark",1-Apr-05
The Anglo-Saxon Chronicle,https://www.gutenberg.org/ebooks/657,Unknown,"September, 1996"
Amusements in Mathematics,https://www.gutenberg.org/ebooks/16713,"Dudeney, Henry Ernest",17-Sep-05
The Travels of Marco Polo � Volume 1,https://www.gutenberg.org/ebooks/10636,Rustichello of Pisa,8-Jan-04
Herland,https://www.gutenberg.org/ebooks/32,"Gilman, Charlotte Perkins",10-May-92
Etiquette,https://www.gutenberg.org/ebooks/14314,"Post, Emily",10-Dec-04
Darkwater: Voices from Within the Veil,https://www.gutenberg.org/ebooks/15210,"Du Bois, W. E. B. (William Edward Burghardt)",28-Feb-05
Poems Every Child Should Know: The What-Every-Child-Should-Know-Library,https://www.gutenberg.org/ebooks/16436,Unknown,4-Aug-05
"The History of the Highland Clearances: Second Edition, Altered and Revised",https://www.gutenberg.org/ebooks/51271,"Mackenzie, Alexander",21-Feb-16
"Prisoner of the Mill: or, Captain Hayward's ""Body Guard""",https://www.gutenberg.org/ebooks/51318,"Hazelton, Harry",28-Feb-16
Lex,https://www.gutenberg.org/ebooks/51362,"Haggert, W. T.",5-Mar-16
"The R�m�yan of V�lm�ki, translated into English verse",https://www.gutenberg.org/ebooks/24869,Valmiki,18-Mar-08
"Human, All Too Human: A Book for Free Spirits",https://www.gutenberg.org/ebooks/38145,"Nietzsche, Friedrich Wilhelm",26-Nov-11
The Girls From Earth,https://www.gutenberg.org/ebooks/51268,"Robinson, Frank M.",22-Feb-16
Father Goriot,https://www.gutenberg.org/ebooks/1237,"Balzac, Honore de","March, 1998"
Le Morte d'Arthur: Volume 2,https://www.gutenberg.org/ebooks/1252,"Malory, Thomas, Sir","March, 1998"
The Analysis of Mind,https://www.gutenberg.org/ebooks/2529,"Russell, Bertrand","February, 2001"
The Power of Mesmerism: A Highly Erotic Narrative of Voluptuous Facts and Fancies,https://www.gutenberg.org/ebooks/28521,Anonymous,6-Apr-09
No Substitutions,https://www.gutenberg.org/ebooks/51350,"Harmon, Jim",3-Mar-16
Growing Up On Big Muddy,https://www.gutenberg.org/ebooks/51398,"De Vet, Charles V. (Charles Vincent)",8-Mar-16
Omens and Superstitions of Southern India,https://www.gutenberg.org/ebooks/35690,"Thurston, Edgar",26-Mar-11
Lady Windermere's Fan,https://www.gutenberg.org/ebooks/790,"Wilde, Oscar",26-Oct-14
Shakespeare's Sonnets,https://www.gutenberg.org/ebooks/1041,"Shakespeare, William","September, 1997"
"The Mentor: The Metropolitan Museum of Art, Vol. 6, Num. 9, Serial No. 157, June 15, 1918",https://www.gutenberg.org/ebooks/51340,"Noe, Sydney P.",1-Mar-16
Tender Buttons: Objects�Food�Rooms,https://www.gutenberg.org/ebooks/15396,"Stein, Gertrude",17-Mar-05
"The Underground Railroad: A Record of Facts, Authentic Narratives, Letters, &c., Narrating the Hardships, Hair-Breadth Escapes and Death Struggles of the Slaves in Their Efforts for Freedom, As Related by Themselves and Others, or Witnessed by the Author.",https://www.gutenberg.org/ebooks/15263,"Still, William",5-Mar-05
Nicholas Nickleby,https://www.gutenberg.org/ebooks/967,"Dickens, Charles",27-Apr-06
Jude the Obscure,https://www.gutenberg.org/ebooks/153,"Hardy, Thomas","August, 1994"
Daddy-Long-Legs,https://www.gutenberg.org/ebooks/157,"Webster, Jean",9-Jun-08
The Tenant of Wildfell Hall,https://www.gutenberg.org/ebooks/969,"Bronte, Anne",2-Feb-10
"Fifteen Thousand Useful Phrases: A Practical Handbook Of Pertinent Expressions, Striking Similes, Literary, Commercial, Conversational, And Oratorical Terms, For The Embellishment Of Speech And Literature, And The Improvement Of The Vocabulary Of Those Persons Who Read, Write, And Speak English",https://www.gutenberg.org/ebooks/18362,"Kleiser, Grenville",10-May-06
Plain Living: A Bush Idyll,https://www.gutenberg.org/ebooks/51404,"Boldrewood, Rolf",8-Mar-16
On the Duty of Civil Disobedience,https://www.gutenberg.org/ebooks/71,"Thoreau, Henry David",12-Jun-04
The Man Who Would Be King,https://www.gutenberg.org/ebooks/8147,"Kipling, Rudyard","May, 2005"
Orthodoxy,https://www.gutenberg.org/ebooks/130,"Chesterton, G. K. (Gilbert Keith)","May, 1994"
The Tragedy of Macbeth,https://www.gutenberg.org/ebooks/1129,"Shakespeare, William","January 1, 1623"
"Boswell's Life of Johnson: Abridged and edited, with an introduction by Charles Grosvenor Osgood",https://www.gutenberg.org/ebooks/1564,"Boswell, James",12-May-06
License to Steal,https://www.gutenberg.org/ebooks/51420,"Newman, Louis",11-Mar-16
"A Queen of Tears, vol. 1 of 2: Caroline Matilda, Queen of Denmark and Norway and Princess; of Great Britain and Ireland",https://www.gutenberg.org/ebooks/51368,"Wilkins, W. H. (William Henry)",5-Mar-16
The Music Master of Babylon,https://www.gutenberg.org/ebooks/51379,"Pangborn, Edgar",6-Mar-16
Sonnets from the Portuguese,https://www.gutenberg.org/ebooks/2002,"Browning, Elizabeth Barrett",14-Sep-04
Essays of Schopenhauer,https://www.gutenberg.org/ebooks/11945,"Schopenhauer, Arthur",7-Apr-04
A Midsummer Night's Dream,https://www.gutenberg.org/ebooks/2242,"Shakespeare, William","January 1, 1600"
The Principles of Chemistry Volume I (of 2),https://www.gutenberg.org/ebooks/51326,"Mendeleyev, Dmitry Ivanovich",29-Feb-16
The Tragedy of Julius Caesar,https://www.gutenberg.org/ebooks/1120,"Shakespeare, William","January 1, 1623"
Grimm's Fairy Stories,https://www.gutenberg.org/ebooks/11027,"Grimm, Jacob",10-Feb-04
Memoirs of Napoleon Bonaparte � Complete,https://www.gutenberg.org/ebooks/3567,"Bourrienne, Louis Antoine Fauvelet de",3-Sep-06
"The Influence of Sea Power Upon History, 1660-1783",https://www.gutenberg.org/ebooks/13529,"Mahan, A. T. (Alfred Thayer)",26-Sep-04
The Wendigo,https://www.gutenberg.org/ebooks/10897,"Blackwood, Algernon",31-Jan-04
"Swenson, Dispatcher",https://www.gutenberg.org/ebooks/51331,"Miller, R. DeWitt",29-Feb-16
A Dog Day: or The Angel in the House,https://www.gutenberg.org/ebooks/51306,"Emanuel, Walter",26-Feb-16
In Praise of Folly: Illustrated with Many Curious Cuts,https://www.gutenberg.org/ebooks/30201,"Erasmus, Desiderius",6-Oct-09
Cautionary Tales for Children,https://www.gutenberg.org/ebooks/27424,"Belloc, Hilaire",5-Dec-08
Cookery and Dining in Imperial Rome,https://www.gutenberg.org/ebooks/29728,Apicius,19-Aug-09
Famous Modern Ghost Stories,https://www.gutenberg.org/ebooks/15143,Unknown,22-Feb-05
The Book of Household Management,https://www.gutenberg.org/ebooks/10136,"Beeton, Mrs. (Isabella Mary)",19-Nov-03
The Economic Consequences of the Peace,https://www.gutenberg.org/ebooks/15776,"Keynes, John Maynard",6-May-05
"A General History of the Pyrates:: from their first rise and settlement in the island of Providence, to the present time",https://www.gutenberg.org/ebooks/40580,"Defoe, Daniel",25-Aug-12
Stories from The Arabian Nights,https://www.gutenberg.org/ebooks/51432,"Housman, Laurence",13-Mar-16
The Story of Doctor Dolittle,https://www.gutenberg.org/ebooks/501,"Lofting, Hugh","April, 1996"
"Manners, Customs, and Dress During the Middle Ages and During the Renaissance Period",https://www.gutenberg.org/ebooks/10940,"Jacob, P. L.",4-Feb-04
"Cicero's Tusculan Disputations: Also, Treatises On The Nature Of The Gods, And On The Commonwealth",https://www.gutenberg.org/ebooks/14988,"Cicero, Marcus Tullius",9-Feb-05
The Complete Plays of Gilbert and Sullivan,https://www.gutenberg.org/ebooks/808,"Gilbert, W. S. (William Schwenck)","February, 1997"
Sir Gawayne and the Green Knight: An Alliterative Romance-Poem (c. 1360 A.D.),https://www.gutenberg.org/ebooks/14568,Unknown,3-Jan-05
The Book of the Thousand Nights and a Night � Volume 01,https://www.gutenberg.org/ebooks/3435,Unknown,"September, 2003"
Composition,https://www.gutenberg.org/ebooks/45410,"Dow, Arthur Wesley",15-Apr-14
The Ballad of the White Horse,https://www.gutenberg.org/ebooks/1719,"Chesterton, G. K. (Gilbert Keith)","April, 1999"
Phaedra,https://www.gutenberg.org/ebooks/1977,"Racine, Jean","November, 1999"
Man of Distinction,https://www.gutenberg.org/ebooks/51288,"Shaara, Michael",23-Feb-16
The Mill on the Floss,https://www.gutenberg.org/ebooks/6688,"Eliot, George","October, 2004"
Lord Jim,https://www.gutenberg.org/ebooks/5658,"Conrad, Joseph",9-Jan-06
The Piazza Tales,https://www.gutenberg.org/ebooks/15859,"Melville, Herman",18-May-05
A Treatise on Painting,https://www.gutenberg.org/ebooks/46915,"Leonardo, da Vinci",20-Sep-14
A Christmas Carol,https://www.gutenberg.org/ebooks/19337,"Dickens, Charles",20-Sep-06
A Shropshire Lad,https://www.gutenberg.org/ebooks/5720,"Housman, A. E. (Alfred Edward)","May, 2004"
"The Will to Believe, and Other Essays in Popular Philosophy",https://www.gutenberg.org/ebooks/26659,"James, William",8-May-09
Love and Freindship [sic],https://www.gutenberg.org/ebooks/1212,"Austen, Jane","February, 1998"
Slaveholding: Weighed in the Balance of Truth,https://www.gutenberg.org/ebooks/51371,"Fitch, Charles",5-Mar-16
Oedipus King of Thebes: Translated into English Rhyming Verse with Explanatory Notes,https://www.gutenberg.org/ebooks/27673,Sophocles,31-Dec-08
Bullet With His Name,https://www.gutenberg.org/ebooks/51436,"Leiber, Fritz",13-Mar-16
Emile,https://www.gutenberg.org/ebooks/5427,"Rousseau, Jean-Jacques","April, 2004"
Myths of the Norsemen: From the Eddas and Sagas,https://www.gutenberg.org/ebooks/28497,"Guerber, H. A. (Helene Adeline)",4-Apr-09
The Golden Bough: A Study of Magic and Religion,https://www.gutenberg.org/ebooks/3623,"Frazer, James George","January, 2003"
How the Other Half Lives: Studies Among the Tenements of New York,https://www.gutenberg.org/ebooks/45502,"Riis, Jacob A. (Jacob August)",26-Apr-14
Romeo and Juliet,https://www.gutenberg.org/ebooks/1513,"Shakespeare, William","January 1, 1597"
Mark Twain's Speeches,https://www.gutenberg.org/ebooks/3188,"Twain, Mark",19-Aug-06
"The Man with Two Left Feet, and Other Stories",https://www.gutenberg.org/ebooks/7471,"Wodehouse, P. G. (Pelham Grenville)","February, 2005"
M�rchen f�r Kinder,https://www.gutenberg.org/ebooks/19163,"Andersen, H. C. (Hans Christian)",3-Sep-06
Sense and Sensibility,https://www.gutenberg.org/ebooks/21839,"Austen, Jane",15-Jun-07
Fairy Tales of Hans Christian Andersen,https://www.gutenberg.org/ebooks/27200,"Andersen, H. C. (Hans Christian)",8-Nov-08
Illustrated History of Furniture: From the Earliest to the Present Time,https://www.gutenberg.org/ebooks/12254,"Litchfield, Frederick",4-May-04
End as a Hero,https://www.gutenberg.org/ebooks/51267,"Laumer, Keith",22-Feb-16
Hafiz in London,https://www.gutenberg.org/ebooks/51392,"Hafiz, 14th cent.",8-Mar-16
The Gods of Mars,https://www.gutenberg.org/ebooks/64,"Burroughs, Edgar Rice",17-Jun-08
The Pencil of Nature,https://www.gutenberg.org/ebooks/33447,"Talbot, William Henry Fox",16-Aug-10
My Own Story,https://www.gutenberg.org/ebooks/34856,"Pankhurst, Emmeline",6-Jan-11
Salom�: A Tragedy in One Act,https://www.gutenberg.org/ebooks/42704,"Wilde, Oscar",12-May-13
An Advanced English Grammar with Exercises,https://www.gutenberg.org/ebooks/45814,"Farley, Frank Edgar",29-May-14
What is Posat?,https://www.gutenberg.org/ebooks/51336,"Smith, Phyllis Sterling",1-Mar-16
His Last Bow: An Epilogue of Sherlock Holmes,https://www.gutenberg.org/ebooks/2350,"Doyle, Arthur Conan","October, 2000"
Mysticism and Logic and Other Essays,https://www.gutenberg.org/ebooks/25447,"Russell, Bertrand",12-May-08
"The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 1 (of 2): Written by Himself Containing a True and Full Account of the Discovery and Conquest of Mexico and New Spain.",https://www.gutenberg.org/ebooks/32474,"Diaz del Castillo, Bernal",21-May-10
The Dunwich Horror,https://www.gutenberg.org/ebooks/50133,"Lovecraft, H. P. (Howard Phillips)",4-Oct-15
Anabasis,https://www.gutenberg.org/ebooks/1170,Xenophon,"January, 1998"
"The Younger Edda; Also called Snorre's Edda, or The Prose Edda",https://www.gutenberg.org/ebooks/18947,Snorri Sturluson,31-Jul-06
The Arabian Nights: Their Best-known Tales,https://www.gutenberg.org/ebooks/20916,Unknown,27-Mar-07
Dr. Montessori's Own Handbook,https://www.gutenberg.org/ebooks/29635,"Montessori, Maria",8-Aug-09
The Works of Edgar Allan Poe � Volume 4,https://www.gutenberg.org/ebooks/2150,"Poe, Edgar Allan",19-May-08
The Mysteries of Udolpho,https://www.gutenberg.org/ebooks/3268,"Radcliffe, Ann Ward","June, 2002"
In the path of the alphabet: an historical account of the ancient beginnings and; evolution of the modern alphabet,https://www.gutenberg.org/ebooks/51422,"Jermain, Frances",11-Mar-16
The Declaration of Independence of the United States of America,https://www.gutenberg.org/ebooks/1,"Jefferson, Thomas","July 4, 1776"
A Bad Day for Vermin,https://www.gutenberg.org/ebooks/51258,"Laumer, Keith",21-Feb-16
Anne's House of Dreams,https://www.gutenberg.org/ebooks/544,"Montgomery, L. M. (Lucy Maud)","May, 1996"
"The Tribes and Castes of the Central Provinces of India, Volume 1",https://www.gutenberg.org/ebooks/20583,"Russell, R. V. (Robert Vane)",15-Feb-07
The Romance of Tristan and Iseult,https://www.gutenberg.org/ebooks/14244,"Bedier, Joseph",3-Dec-04
"In Stahlgewittern, aus dem Tagebuch eines Sto�truppf�hrers",https://www.gutenberg.org/ebooks/34099,"Junger, Ernst",19-Oct-10
Lady Susan,https://www.gutenberg.org/ebooks/946,"Austen, Jane",Jun-97
The Return of the Native,https://www.gutenberg.org/ebooks/122,"Hardy, Thomas",8-Mar-06
Idylls of the King,https://www.gutenberg.org/ebooks/610,"Tennyson, Alfred Tennyson, Baron","August, 1996"
Beowulf,https://www.gutenberg.org/ebooks/981,Unknown,"July, 1997"
Selected Sermons of Jonathan Edwards,https://www.gutenberg.org/ebooks/34632,"Edwards, Jonathan",12-Dec-10
"Tartuffe; Or, The Hypocrite",https://www.gutenberg.org/ebooks/2027,Moliere,"January, 2000"
Beyond Lies the Wub,https://www.gutenberg.org/ebooks/28554,"Dick, Philip K.",11-Apr-09
English Translations Of Works Of Emile Zola: An Index to the Project Gutenberg Works of Zola in English,https://www.gutenberg.org/ebooks/29004,"Zola, Emile",30-May-09
A Text-Book of the History of Painting,https://www.gutenberg.org/ebooks/18900,"Van Dyke, John Charles",23-Jul-06
Tales of the Jazz Age,https://www.gutenberg.org/ebooks/6695,"Fitzgerald, F. Scott (Francis Scott)","October, 2004"
Lady Audley's Secret,https://www.gutenberg.org/ebooks/8954,"Braddon, M. E. (Mary Elizabeth)","September, 2005"
Far from the Madding Crowd,https://www.gutenberg.org/ebooks/107,"Hardy, Thomas","February, 1994"
How to Live on 24 Hours a Day,https://www.gutenberg.org/ebooks/2274,"Bennett, Arnold","August, 2000"
The Tragedy of King Lear,https://www.gutenberg.org/ebooks/1128,"Shakespeare, William","January 1, 1608"
Myths of Babylonia and Assyria,https://www.gutenberg.org/ebooks/16653,"Mackenzie, Donald A. (Donald Alexander)",5-Sep-05
Dead Souls,https://www.gutenberg.org/ebooks/1081,"Gogol, Nikolai Vasilevich","October, 1997"
"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1: Books 1, 2 and 3",https://www.gutenberg.org/ebooks/15474,Unknown,26-Mar-05
Doctor Thorne,https://www.gutenberg.org/ebooks/3166,"Trollope, Anthony","April, 2002"
Library of the World's Best Mystery and Detective Stories,https://www.gutenberg.org/ebooks/12758,Unknown,28-Jun-04
"Mechanical Drawing Self-Taught: Comprising instructions in the selection and preparation of drawing instruments, elementary instruction in practical mechanical drawing; together with examples in simple geometry and elementary mechanism, including screw threads, gear wheels, mechanical motions, engines and boilers",https://www.gutenberg.org/ebooks/23319,"Rose, Joshua",4-Nov-07
The Return of Sherlock Holmes,https://www.gutenberg.org/ebooks/221,"Doyle, Arthur Conan",10-Jul-08
Dombey and Son,https://www.gutenberg.org/ebooks/821,"Dickens, Charles","February, 1997"
"History of Egypt, Chaldea, Syria, Babylonia, and Assyria in the Light of Recent Discovery",https://www.gutenberg.org/ebooks/17321,"King, L. W. (Leonard William)",16-Dec-05
"The Tao Teh King, or the Tao and its Characteristics",https://www.gutenberg.org/ebooks/216,Laozi,"February, 1995"
Alice's Abenteuer im Wunderland,https://www.gutenberg.org/ebooks/19778,"Carroll, Lewis",28-Feb-07
The Variable Man,https://www.gutenberg.org/ebooks/32154,"Dick, Philip K.",27-Apr-10
Pen Pal,https://www.gutenberg.org/ebooks/51286,"Marlowe, Stephen",23-Feb-16
Warlord of Mars,https://www.gutenberg.org/ebooks/68,"Burroughs, Edgar Rice","June, 1993"
Household Stories by the Brothers Grimm,https://www.gutenberg.org/ebooks/19068,"Grimm, Wilhelm",17-Aug-06
"How to Tell a Story, and Other Essays",https://www.gutenberg.org/ebooks/3250,"Twain, Mark",20-Aug-06
My Strange Rescue: and other stories of Sport and Adventure in Canada,https://www.gutenberg.org/ebooks/51308,"Oxley, J. Macdonald (James Macdonald)",26-Feb-16
English Synonyms and Antonyms: With Notes on the Correct Use of Prepositions,https://www.gutenberg.org/ebooks/28900,"Fernald, James Champlin",21-May-09
The Big Trip Up Yonder,https://www.gutenberg.org/ebooks/30240,"Vonnegut, Kurt",13-Oct-09
The Ways of the Planets,https://www.gutenberg.org/ebooks/51284,"Martin, Martha Evans",22-Feb-16
"Gutenberg, and the Art of Printing",https://www.gutenberg.org/ebooks/51358,"Pearson, Emily Clemens",5-Mar-16
"The Life and Amours of the Beautiful, Gay and Dashing Kate Percival: The Belle of the Delaware",https://www.gutenberg.org/ebooks/29827,"Percival, Kate",28-Aug-09
Meno,https://www.gutenberg.org/ebooks/1643,Plato,"February, 1999"
Das Unheimliche,https://www.gutenberg.org/ebooks/34222,"Freud, Sigmund",6-Nov-10
The Art of Public Speaking,https://www.gutenberg.org/ebooks/16317,"Esenwein, J. Berg (Joseph Berg)",17-Jul-05
Laughter: An Essay on the Meaning of the Comic,https://www.gutenberg.org/ebooks/4352,"Bergson, Henri","August, 2003"
"The History of Rome, Books 01 to 08",https://www.gutenberg.org/ebooks/19725,Livy,6-Nov-06
"Looking Backward, 2000 to 1887",https://www.gutenberg.org/ebooks/624,"Bellamy, Edward","August, 1996"
The Art Of Writing & Speaking The English Language: Word-Study and Composition & Rhetoric,https://www.gutenberg.org/ebooks/19719,"Cody, Sherwin",5-Nov-06
Heidi: (Gift Edition),https://www.gutenberg.org/ebooks/20781,"Spyri, Johanna",9-Mar-07
New Atlantis,https://www.gutenberg.org/ebooks/2434,"Bacon, Francis",Dec-00
The Fortunes and Misfortunes of the Famous Moll Flanders,https://www.gutenberg.org/ebooks/370,"Defoe, Daniel",19-Mar-08
"Apology, Crito, and Phaedo of Socrates",https://www.gutenberg.org/ebooks/13726,Plato,12-Oct-04
The School for Scandal,https://www.gutenberg.org/ebooks/1929,"Sheridan, Richard Brinsley","October, 1999"
The Letters of Wolfgang Amadeus Mozart � Volume 01,https://www.gutenberg.org/ebooks/5307,"Mozart, Wolfgang Amadeus","March, 2004"
"The Art of Money Getting; Or, Golden Rules for Making Money",https://www.gutenberg.org/ebooks/8581,"Barnum, P. T. (Phineas Taylor)","July, 2005"
"An Essay Concerning Humane Understanding, Volume 1: MDCXC, Based on the 2nd Edition, Books 1 and 2",https://www.gutenberg.org/ebooks/10615,"Locke, John",6-Jan-04
Four Arthurian Romances,https://www.gutenberg.org/ebooks/831,"Chretien, de Troyes, active 12th century","February, 1997"
"The Mentor: The Incas, vol. 6, num. 3, Serial No. 151, March 15, 1918",https://www.gutenberg.org/ebooks/51322,"Hardy, Osgood",28-Feb-16
Twice Told Tales,https://www.gutenberg.org/ebooks/13707,"Hawthorne, Nathaniel",11-Oct-04
Sex-linked Inheritance in Drosophila,https://www.gutenberg.org/ebooks/34368,"Bridges, Calvin B. (Calvin Blackman)",18-Nov-10
"Slave Narratives: A Folk History of Slavery in the United States From Interviews with Former Slaves: Volume I, Alabama Narratives",https://www.gutenberg.org/ebooks/36020,United States. Work Projects Administration,2-May-11
How We Think,https://www.gutenberg.org/ebooks/37423,"Dewey, John",14-Sep-11
The Arabian Nights Entertainments,https://www.gutenberg.org/ebooks/19860,Anonymous,18-Nov-06
Nostromo: A Tale of the Seaboard,https://www.gutenberg.org/ebooks/2021,"Conrad, Joseph",9-Jan-06
"The Business, As Usual",https://www.gutenberg.org/ebooks/51435,"Sharkey, Jack",13-Mar-16
McTeague: A Story of San Francisco,https://www.gutenberg.org/ebooks/165,"Norris, Frank",12-Mar-06
The Taming of the Shrew,https://www.gutenberg.org/ebooks/1107,"Shakespeare, William","January 1, 1590"
Sons and Lovers,https://www.gutenberg.org/ebooks/217,"Lawrence, D. H. (David Herbert)",16-Jan-06
"A Brief Account of the Destruction of the Indies: Or, a faithful NARRATIVE OF THE Horrid and Unexampled Massacres, Butcheries, and all manner of Cruelties, that Hell and Malice could invent, committed by the Popish Spanish Party on the inhabitants of West-India, TOGETHER With the Devastations of several Kingdoms in America by Fire and Sword, for the space of Forty and Two Years, from the time of its first Discovery by them.",https://www.gutenberg.org/ebooks/20321,"Casas, Bartolome de las",9-Jan-07
The Seven Lamps of Architecture,https://www.gutenberg.org/ebooks/35898,"Ruskin, John",18-Apr-11
"The History of Don Quixote, Volume 2, Complete",https://www.gutenberg.org/ebooks/5946,"Cervantes Saavedra, Miguel de",26-Jul-04
Les mis�rables Tome I: Fantine,https://www.gutenberg.org/ebooks/17489,"Hugo, Victor",10-Jan-06
Jesus the Christ: A Study of the Messiah and His Mission According to Holy; Scriptures Both Ancient and Modern,https://www.gutenberg.org/ebooks/22542,"Talmage, James E. (James Edward)",8-Sep-07
Considerations on Representative Government,https://www.gutenberg.org/ebooks/5669,"Mill, John Stuart","May, 2004"
Following the Equator: A Journey Around the World,https://www.gutenberg.org/ebooks/2895,"Twain, Mark",18-Aug-06
The Sea-Wolf,https://www.gutenberg.org/ebooks/1074,"London, Jack",24-Dec-10
Babbitt,https://www.gutenberg.org/ebooks/1156,"Lewis, Sinclair",11-Feb-06
The Last Man,https://www.gutenberg.org/ebooks/18247,"Shelley, Mary Wollstonecraft",24-Apr-06
The Wind in the Willows,https://www.gutenberg.org/ebooks/27805,"Grahame, Kenneth",14-Jan-09
The Hand Phrenologically Considered: Being a Glimpse at the Relation of the Mind with the Organisation of the Body,https://www.gutenberg.org/ebooks/51328,Anonymous,29-Feb-16
"Human, All-Too-Human: A Book For Free Spirits; Part II",https://www.gutenberg.org/ebooks/37841,"Nietzsche, Friedrich Wilhelm",24-Oct-11
"Frankenstein; Or, The Modern Prometheus",https://www.gutenberg.org/ebooks/41445,"Shelley, Mary Wollstonecraft",10-Dec-12
The Oxford Book of American Essays,https://www.gutenberg.org/ebooks/40196,Unknown,10-Jul-12
Memoirs of General William T. Sherman � Complete,https://www.gutenberg.org/ebooks/4361,"Sherman, William T. (William Tecumseh)",16-Aug-06
The Merry Adventures of Robin Hood,https://www.gutenberg.org/ebooks/10148,"Pyle, Howard",20-Nov-03
Dr. Elsie Inglis,https://www.gutenberg.org/ebooks/51410,"Balfour, Lady Frances",9-Mar-16
The Tenniel Illustrations for Carroll's Alice in Wonderland,https://www.gutenberg.org/ebooks/114,"Tenniel, John",27-May-08
"Principles Of Political Economy: Abridged with Critical, Bibliographical, and Explanatory Notes, and a Sketch of the History of Political Economy",https://www.gutenberg.org/ebooks/30107,"Mill, John Stuart",27-Sep-09
"The Mysteries of London, v. 2/4",https://www.gutenberg.org/ebooks/51294,"Reynolds, George W. M. (George William MacArthur)",24-Feb-16
All Things Considered,https://www.gutenberg.org/ebooks/11505,"Chesterton, G. K. (Gilbert Keith)",7-Mar-04
The Iliads of Homer: Translated according to the Greek,https://www.gutenberg.org/ebooks/51355,Homer,4-Mar-16
Le roman de la rose - Tome I,https://www.gutenberg.org/ebooks/16816,"Guillaume, de Lorris, active 1230",8-Oct-05
The Merchant of Venice,https://www.gutenberg.org/ebooks/2243,"Shakespeare, William","January 1, 1623"
All About Coffee,https://www.gutenberg.org/ebooks/28500,"Ukers, William H. (William Harrison)",4-Apr-09
L�-bas,https://www.gutenberg.org/ebooks/14323,"Huysmans, J.-K. (Joris-Karl)",10-Dec-04
A Husband for My Wife,https://www.gutenberg.org/ebooks/51460,"Stuart, William W.",15-Mar-16
The Way of the World,https://www.gutenberg.org/ebooks/1292,"Congreve, William",25-Jan-15
English Coins and Tokens: With A Chapter on Greek and Roman Coins,https://www.gutenberg.org/ebooks/51302,"Jewitt, Llewellynn Frederick William",26-Feb-16
The Forsyte Saga - Complete,https://www.gutenberg.org/ebooks/4397,"Galsworthy, John",14-Jun-06
The Sleeping Beauty and other fairy tales,https://www.gutenberg.org/ebooks/51275,"Perrault, Charles",21-Feb-16
The Willows,https://www.gutenberg.org/ebooks/11438,"Blackwood, Algernon",4-Mar-04
In Bad Company and other stories,https://www.gutenberg.org/ebooks/51314,"Boldrewood, Rolf",27-Feb-16
The Birth of Tragedy: or Hellenism and Pessimism,https://www.gutenberg.org/ebooks/51356,"Nietzsche, Friedrich Wilhelm",4-Mar-16
The Jew of Malta,https://www.gutenberg.org/ebooks/901,"Marlowe, Christopher",May-97
The House on the Borderland,https://www.gutenberg.org/ebooks/10002,"Hodgson, William Hope",10-Nov-03
Major Barbara,https://www.gutenberg.org/ebooks/3790,"Shaw, Bernard","February, 2003"
The Song of Roland,https://www.gutenberg.org/ebooks/391,Unknown,"January, 1996"
Life Is a Dream,https://www.gutenberg.org/ebooks/2587,"Calderon de la Barca, Pedro",31-Mar-06
The Game of Logic,https://www.gutenberg.org/ebooks/4763,"Carroll, Lewis","December, 2003"
The Marvelous Land of Oz,https://www.gutenberg.org/ebooks/54,"Baum, L. Frank (Lyman Frank)","February, 1993"
The Wisdom of Father Brown,https://www.gutenberg.org/ebooks/223,"Chesterton, G. K. (Gilbert Keith)","February, 1995"
Cawnpore,https://www.gutenberg.org/ebooks/51383,"Trevelyan, George Otto",6-Mar-16
Astounding Stories of Super-Science January 1930,https://www.gutenberg.org/ebooks/41481,Unknown,25-Nov-12
Nice Girl With 5 Husbands,https://www.gutenberg.org/ebooks/51101,"Leiber, Fritz",1-Feb-16
A First Spanish Reader,https://www.gutenberg.org/ebooks/15353,"Roessler, Erwin W. (Erwin William)",13-Mar-05
"The Essays of ""George Eliot"": Complete",https://www.gutenberg.org/ebooks/28289,"Eliot, George",9-Mar-09
"De Nederlandsche Geslachtsnamen in Oorsprong, Geschiedenis en Beteekenis",https://www.gutenberg.org/ebooks/36077,"Winkler, Johan",10-May-11
American Fairy Tales,https://www.gutenberg.org/ebooks/4357,"Baum, L. Frank (Lyman Frank)","August, 2003"
